Age,Date,Player,Position,Season,Team,Weight
29,14-Apr-85,Micheal Ray Richardson,PG,1984-1985,New Jersey Nets,189
23,7-Apr-85,Derek Smith,SG,1984-1985,Los Angeles Clippers,205
28,1-Apr-85,Calvin Natt,F,1984-1985,Denver Nuggets,220
37,24-Mar-85,Kareem Abdul-Jabbar,C,1984-1985,Los Angeles Lakers,225
28,17-Mar-85,Larry Bird,SF,1984-1985,Boston Celtics,220
26,10-Mar-85,Darrell Griffith,SG,1984-1985,Utah Jazz,190
24,3-Mar-85,Sleepy Floyd,PG,1984-1985,Golden State Warriors,170
25,24-Feb-85,Mark Aguirre,SF,1984-1985,Dallas Mavericks,232
25,17-Feb-85,Magic Johnson,PG,1984-1985,Los Angeles Lakers,255
25,3-Feb-85,Dominique Wilkins,SF,1984-1985,Atlanta Hawks,200
32,27-Jan-85,Tom McMillen,PF,1984-1985,Washington Bullets,215
22,20-Jan-85,Michael Jordan,SG,1984-1985,Chicago Bulls,215
31,13-Jan-85,World B. Free,G,1984-1985,Cleveland Cavaliers,185
23,6-Jan-85,Isiah Thomas,PG,1984-1985,Detroit Pistons,180
29,30-Dec-84,Micheal Ray Richardson,PG,1984-1985,New Jersey Nets,189
23,23-Dec-84,Terry Cummings,PF,1984-1985,Milwaukee Bucks,220
23,16-Dec-84,Derek Smith,SG,1984-1985,Los Angeles Clippers,205
25,9-Dec-84,Orlando Woolridge,PF,1984-1985,Chicago Bulls,215
29,2-Dec-84,Jack Sikma,C,1984-1985,Seattle SuperSonics,230
28,25-Nov-84,Bernard King,SF,1984-1985,New York Knicks,205
29,18-Nov-84,Moses Malone,C,1984-1985,Philadelphia Sixers,215
31,11-Nov-84,Alex English,SF,1984-1985,Denver Nuggets,190
26,4-Nov-84,Larry Nance,PF,1984-1985,Phoenix Suns,205
26,13-Apr-86,Dominique Wilkins,SF,1985-1986,Atlanta Hawks,200
28,6-Apr-86,Herb Williams,C,1985-1986,Indiana Pacers,242
23,30-Mar-86,Charles Barkley,PF,1985-1986,Philadelphia Sixers,252
30,23-Mar-86,Adrian Dantley,SF,1985-1986,Utah Jazz,208
29,16-Mar-86,Larry Bird,SF,1985-1986,Boston Celtics,220
26,9-Mar-86,Magic Johnson,PG,1985-1986,Los Angeles Lakers,255
23,2-Mar-86,Charles Barkley,PF,1985-1986,Philadelphia Sixers,252
28,23-Feb-86,Sidney Moncrief,SG,1985-1986,Milwaukee Bucks,180
29,16-Feb-86,Larry Bird,SF,1985-1986,Boston Celtics,220
32,2-Feb-86,Alex English,SF,1985-1986,Denver Nuggets,190
23,26-Jan-86,Charles Barkley,PF,1985-1986,Philadelphia Sixers,252
29,19-Jan-86,Larry Bird,SF,1985-1986,Boston Celtics,220
29,12-Jan-86,Calvin Natt,F,1985-1986,Denver Nuggets,220
23,5-Jan-86,Clyde Drexler,SG,1985-1986,Portland Trail Blazers,210
26,29-Dec-85,Dominique Wilkins,SF,1985-1986,Atlanta Hawks,200
27,22-Dec-85,Larry Nance,PF,1985-1986,Phoenix Suns,205
23,15-Dec-85,Alvin Robertson,SG,1985-1986,San Antonio Spurs,185
27,8-Dec-85,Jeff Ruland,C,1985-1986,Washington Bullets,240
29,1-Dec-85,Larry Bird,SF,1985-1986,Boston Celtics,220
32,24-Nov-85,Alex English,SF,1985-1986,Denver Nuggets,190
23,17-Nov-85,Patrick Ewing,C,1985-1986,New York Knicks,240
25,10-Nov-85,Buck Williams,PF,1985-1986,New Jersey Nets,215
24,3-Nov-85,Derek Smith,SG,1985-1986,Los Angeles Clippers,205
37,19-Apr-87,Julius Erving,SF,1986-1987,Philadelphia Sixers,200
24,12-Apr-87,Michael Jordan,SG,1986-1987,Chicago Bulls,215
27,5-Apr-87,Magic Johnson,PG,1986-1987,Los Angeles Lakers,255
29,29-Mar-87,Larry Smith,PF,1986-1987,Golden State Warriors,215
27,22-Mar-87,Magic Johnson,PG,1986-1987,Los Angeles Lakers,255
23,15-Mar-87,Karl Malone,PF,1986-1987,Utah Jazz,265
27,8-Mar-87,Magic Johnson,PG,1986-1987,Los Angeles Lakers,255
24,1-Mar-87,Michael Jordan,SG,1986-1987,Chicago Bulls,215
31,22-Feb-87,Moses Malone,C,1986-1987,Washington Bullets,215
27,15-Feb-87,Magic Johnson,PG,1986-1987,Los Angeles Lakers,255
26,1-Feb-87,Fat Lever,PG,1986-1987,Denver Nuggets,170
33,25-Jan-87,Alex English,SF,1986-1987,Denver Nuggets,190
24,18-Jan-87,Otis Thorpe,PF,1986-1987,Sacramento Kings,225
25,11-Jan-87,Isiah Thomas,PG,1986-1987,Detroit Pistons,180
30,4-Jan-87,Larry Bird,SF,1986-1987,Boston Celtics,220
24,28-Dec-86,Patrick Ewing,C,1986-1987,New York Knicks,240
