年龄,性别,全国,北京,天津,河北,山西,内蒙古,辽宁,吉林,黑龙江,上海,江苏,浙江,安徽,福建,江西,山东,河南,湖北,湖南,广东,广西,海南,重庆,四川,贵州,云南,西藏,陕西,甘肃,青海,宁夏,新疆
合计,小计,1332810869,19612368,12938693,71854210,35712101,24706291,43746323,27452815,38313991,23019196,78660941,54426891,59500468,36894217,44567797,95792719,94029939,57237727,65700762,104320459,46023761,8671485,28846170,80417528,34748556,45966766,3002165,37327379,25575263,5626723,6301350,21815815
合计,男,682329104,10126430,6907091,36430286,18338760,12838243,22147745,13907218,19426106,11854916,39626707,27965641,30245513,18981054,23003521,48446944,47493063,29391247,33776459,54400538,23924704,4592283,14608870,40827834,17905471,23856696,1542652,19287575,13064193,2913793,3227404,11270147
合计,女,650481765,9485938,6031602,35423924,17373341,11868048,21598578,13545597,18887885,11164280,39034234,26461250,29254955,17913163,21564276,47345775,46536876,27846480,31924303,49919921,22099057,4079202,14237300,39589694,16843085,22110070,1459513,18039804,12511070,2712930,3073946,10545668
0岁,小计,13786434,115882,81871,880194,345782,204151,264242,177072,248678,128222,683985,443261,748259,400476,578832,980428,1043852,590805,795454,1081126,712891,120973,262561,740904,475282,556947,45268,334718,276977,71664,75277,320400
0岁,男,7461199,60564,43546,470526,181346,107837,138487,93211,131574,67467,367638,240036,421009,222995,319203,533599,564511,327178,439116,590546,392805,67323,138977,390791,261641,294144,23346,179263,149668,37911,40062,164879
0岁,女,6325235,55318,38325,409668,164436,96314,125755,83861,117104,60755,316347,203225,327250,177481,259629,446829,479341,263627,356338,490580,320086,53650,123584,350113,213641,262803,21922,155455,127309,33753,35215,155521
1-5岁,小计,61746176,569998,379022,3897692,1477029,914675,1274719,901944,1131065,665073,3123269,1990898,2945073,1726787,2883942,4354309,6063217,2389245,3390387,4543610,2807588,483567,1304130,3536151,1963917,2360943,201029,1471510,1112667,297154,341751,1243815
1-5岁,男,33601367,300229,201322,2100526,775404,479554,669590,475837,593885,355124,1712346,1065018,1643659,957385,1639432,2404250,3387106,1319597,1853393,2504890,1531191,268681,690596,1859472,1088329,1250950,102886,793674,602691,154744,181134,638472
1-5岁,女,28144809,269769,177700,1797166,701625,435121,605129,426107,537180,309949,1410923,925880,1301414,769402,1244510,1950059,2676111,1069648,1536994,2038720,1276397,214886,613534,1676679,875588,1109993,98143,677836,509976,142410,160617,605343
6-9岁,小计,70881549,501269,397798,4041271,1866552,1092749,1634902,1094295,1497236,632783,3207573,2377561,3325594,1856796,3232057,4967926,6480010,2461063,3925321,5167116,3318290,535731,1539908,4277626,2745811,3133577,237982,1669727,1445587,386107,440189,1391142
6-9岁,男,38464665,266411,212250,2168112,978796,571128,861576,575786,782597,340432,1754767,1264707,1844189,1008140,1835120,2672557,3655027,1361844,2165639,2876896,1791975,300832,822225,2261957,1482935,1659678,121415,907840,773015,199588,231455,715776
6-9岁,女,32416884,234858,185548,1873159,887756,521621,773326,518509,714639,292351,1452806,1112854,1481405,848656,1396937,2295369,2824983,1099219,1759682,2290220,1526315,234899,717683,2015669,1262876,1473899,116567,761887,672572,186519,208734,675366
10-14岁,小计,74908462,500288,408877,3273881,2416653,1264856,1823114,1118204,1697462,556781,3218657,2377355,3557210,1721639,3067402,4771546,6160239,2522695,3465353,6812178,3152052,575072,1796761,5092442,3593232,3475325,247405,2013440,1808904,422181,490813,1506445
10-14岁,男,40267277,263230,216813,1741355,1259085,658767,961852,587142,882788,294286,1753098,1260411,1943519,940795,1718186,2538286,3414352,1406696,1879394,3729615,1707841,325169,947831,2683611,1888050,1835439,125906,1100807,958255,217250,254028,773420
10-14岁,女,34641185,237058,192064,1532526,1157568,606089,861262,531062,814674,262495,1465559,1116944,1613691,780844,1349216,2233260,2745887,1115999,1585959,3082563,1444211,249903,848930,2408831,1705182,1639886,121499,912633,850649,204931,236785,733025
15-19岁,小计,99889114,1071078,801760,5300038,3370864,1664924,2512595,1684347,2257881,1121172,5642735,3591687,4744232,2816779,3425991,5461457,7418890,4806737,4183927,9989559,3429296,782459,2245342,6213182,2827796,3693141,270675,3331277,2435585,489085,552137,1752486
15-19岁,男,51904830,564868,424619,2699801,1705179,859999,1294179,861243,1150699,575676,2939819,1865826,2468849,1485493,1834229,2854002,3861615,2560263,2175503,5193402,1825863,415119,1138466,3174578,1474002,1924103,141186,1752574,1253158,251790,280086,898641
15-19岁,女,47984284,506210,377141,2600237,1665685,804925,1218416,823104,1107182,545496,2702916,1725861,2275383,1331286,1591762,2607455,3557275,2246474,2008424,4796157,1603433,367340,1106876,3038604,1353794,1769038,129489,1578703,1182427,237295,272051,853845
20-24岁,小计,127412518,2633028,1679442,7592569,3191889,2083823,3665298,2501314,3325297,2620370,7783471,4950650,4912202,3918540,4025717,9485391,9611242,5584166,6148485,12275490,3853883,807157,2149066,6360027,2426464,4083725,327630,3941487,2318564,487100,551463,2117568
20-24岁,男,64008573,1368039,922933,3769523,1622419,1074514,1865871,1250052,1670054,1339673,3887759,2533298,2353868,1962823,1992465,4777476,4641380,2794304,3031499,6297809,1987801,415337,1058172,3167922,1200046,2094298,172999,2011071,1142615,251152,276639,1074762
20-24岁,女,63403945,1264989,756509,3823046,1569470,1009309,1799427,1251262,1655243,1280697,3895712,2417352,2558334,1955717,2033252,4707915,4969862,2789862,3116986,5977681,1866082,391820,1090894,3192105,1226418,1989427,154631,1930416,1175949,235948,274824,1042806
25-29岁,小计,101013852,2379014,1341714,5922757,2712291,2059761,3041693,1956582,2816292,2571181,5631916,4466744,3620338,3299934,3032051,6937780,6125379,4019964,4739884,10621267,3657034,773022,1565973,4514128,2059781,3572599,310214,2827013,1686018,426919,501079,1823530
25-29岁,男,50837038,1223231,751611,2953742,1388574,1078398,1528615,979216,1420146,1319622,2782481,2279194,1738599,1661969,1466019,3464999,2934786,1984503,2321047,5535552,1875290,399870,764663,2238807,1032802,1871027,161381,1443775,835598,220178,252813,928530
25-29岁,女,50176814,1155783,590103,2969015,1323717,981363,1513078,977366,1396146,1251559,2849435,2187550,1881739,1637965,1566032,3472781,3190593,2035461,2418837,5085715,1781744,373152,801310,2275321,1026979,1701572,148833,1383238,850420,206741,248266,895000
30-34岁,小计,97138203,1824339,1035675,4816542,2497375,1967778,3275788,2171403,3061423,2128116,5529757,4459956,4007746,3048083,3592953,6501667,5997389,3918104,4329801,8934834,3481060,675851,1456089,4874122,2403607,3931583,252326,2542726,1599412,489129,539244,1794325
30-34岁,男,49521822,955672,581531,2455915,1287390,1041581,1667749,1106604,1563415,1113853,2755438,2296739,1989930,1559374,1779553,3276452,2948021,1976252,2178922,4702015,1800487,356762,708598,2421335,1226542,2074103,132424,1306244,810650,254853,275407,918011
30-34岁,女,47616381,868667,454144,2360627,1209985,926197,1608039,1064799,1498008,1014263,2774319,2163217,2017816,1488709,1813400,3225215,3049368,1941852,2150879,4232819,1680573,319089,747491,2452787,1177065,1857480,119902,1236482,788762,234276,263837,876314
35-39岁,小计,118025959,1720601,1045560,5236791,3289042,2540644,3720098,2557636,3938760,1921297,6405159,5172500,5351187,3604164,4029729,7911653,7374290,4857877,5698032,9533299,3716207,703749,2852283,8077512,3095821,4379894,248672,3293127,2384986,569020,592210,2204159
35-39岁,男,60391104,916825,580926,2640674,1686158,1335067,1897745,1302826,2019732,1025778,3185636,2652552,2672730,1847755,2032118,4003096,3683925,2465831,2944331,4958950,1947361,375556,1423486,4072193,1611623,2328062,130917,1691341,1203659,301903,305743,1146605
35-39岁,女,57634855,803776,464634,2596117,1602884,1205577,1822353,1254810,1919028,895519,3219523,2519948,2678457,1756409,1997611,3908557,3690365,2392046,2753701,4574349,1768846,328193,1428797,4005319,1484198,2051832,117755,1601786,1181327,267117,286467,1057554
40-44岁,小计,124753964,1656355,1067997,6303869,3204150,2508659,4158958,2893132,3992113,1877736,7966614,5475518,6229450,3426578,3780745,9326952,8331878,5616356,6403343,8864774,3793212,730966,2725931,7819390,2971556,4068439,227977,3390021,2663227,559044,576333,2142691
40-44岁,男,63608678,884231,586050,3191301,1657285,1324061,2120659,1482282,2053208,1001047,3924609,2793988,3078803,1751557,1913047,4683874,4087217,2862689,3272744,4588317,1997311,391670,1372752,3970327,1541384,2142791,118900,1752844,1348508,295724,295336,1124162
40-44岁,女,61145286,772124,481947,3112568,1546865,1184598,2038299,1410850,1938905,876689,4042005,2681530,3150647,1675021,1867698,4643078,4244661,2753667,3130599,4276457,1795901,339296,1353179,3849063,1430172,1925648,109077,1637177,1314719,263320,280997,1018529
45-49岁,小计,105594553,1628804,1097110,5644591,2848258,2239534,4266446,2614467,3656130,1800678,6525182,4726043,4927826,2781033,3049892,8075051,6859450,5108599,5350689,7046805,3290568,665487,2201456,5934098,2317950,3345400,187860,2957295,2039894,422732,445356,1539869
45-49岁,男,53776418,861742,583532,2824442,1469270,1173609,2164862,1328918,1860562,956736,3255929,2428602,2462328,1419803,1540906,4008907,3329233,2610967,2732405,3687090,1718836,358251,1106618,3014140,1191817,1739981,97943,1529697,1042022,223728,231469,822073
45-49岁,女,51818135,767062,513578,2820149,1378988,1065925,2101584,1285549,1795568,843942,3269253,2297441,2465498,1361230,1508986,4066144,3530217,2497632,2618284,3359715,1571732,307236,1094838,2919958,1126133,1605419,89917,1427598,997872,199004,213887,717796
50-54岁,小计,78753171,1347008,998655,4794727,2325620,1813660,3842788,2150509,3020706,1802722,4938416,3497645,2558528,2126496,2471918,6253297,4915502,3699126,3649926,4898765,2377129,440224,1533112,4142765,1587809,2133490,120934,2488577,1263287,241896,292737,1025197
